name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,vi_bar,i_p95_format,g1_pass,n_syms,n_entry_days,x2_full_sharpe,x2_oos_sharpe,note
null_ce_s20260936,random_null,ce,ok,2080,267,0.0371,0.3955,-0.2304,,0.5131,0.0375,-0.0785,,,,3029,,,,seed=20260936
null_default_s20260937,random_null,default,ok,2718,358,-0.053,-0.1842,-0.7325,,0.6773,0.1413,-0.1895,,,,3015,,,,seed=20260937
null_ce_s20260937,random_null,ce,ok,2052,284,-0.0002,0.068,-0.4924,,0.9551,0.1191,-0.091,,,,3015,,,,seed=20260937
null_default_s20260938,random_null,default,ok,2631,305,-0.084,-0.3524,-0.7499,,-0.0851,-0.046,-0.3521,,,,3000,,,,seed=20260938
null_ce_s20260938,random_null,ce,ok,1964,268,-0.0128,-0.0392,-0.4832,,0.3976,0.043,-0.1349,,,,3000,,,,seed=20260938
null_default_s20260939,random_null,default,ok,2830,398,0.0084,0.1302,-0.4801,,0.5534,0.0587,-0.0747,,,,3021,,,,seed=20260939
null_ce_s20260939,random_null,ce,ok,2048,285,0.0275,0.271,-0.4116,,1.4297,0.1296,-0.0688,,,,3021,,,,seed=20260939
null_default_s20260940,random_null,default,ok,2669,372,-0.0485,-0.1451,-0.7619,,1.2604,0.3039,-0.2442,,,,3043,,,,seed=20260940
null_ce_s20260940,random_null,ce,ok,1964,271,-0.0114,-0.005,-0.4929,,0.8128,0.1007,-0.1631,,,,3043,,,,seed=20260940
null_default_s20260941,random_null,default,ok,2801,417,0.0015,0.0922,-0.5432,,0.9903,0.1311,-0.0943,,,,3039,,,,seed=20260941
null_ce_s20260941,random_null,ce,ok,2009,284,0.0139,0.1688,-0.4256,,1.4921,0.1651,-0.0771,,,,3039,,,,seed=20260941
null_default_s20260942,random_null,default,ok,2904,422,0.0437,0.4243,-0.2683,,1.189,0.0981,-0.074,,,,3001,,,,seed=20260942
null_ce_s20260942,random_null,ce,ok,2062,290,0.0348,0.3728,-0.2197,,0.1583,0.0091,-0.1292,,,,3001,,,,seed=20260942
null_default_s20260943,random_null,default,ok,2449,250,-0.0969,-0.3786,-0.7817,,0.2829,0.0393,-0.302,,,,3021,,,,seed=20260943
null_ce_s20260943,random_null,ce,ok,1892,241,-0.0333,-0.164,-0.5409,,0.066,-0.0013,-0.2175,,,,3021,,,,seed=20260943
null_default_s20260944,random_null,default,ok,2826,381,0.0092,0.1356,-0.3316,,0.7318,0.084,-0.0761,,,,3038,,,,seed=20260944
null_ce_s20260944,random_null,ce,ok,1986,271,0.0028,0.0881,-0.3481,,0.4442,0.0471,-0.1052,,,,3038,,,,seed=20260944
null_default_s20260945,random_null,default,ok,2849,390,0.0008,0.0757,-0.3325,,-0.0729,-0.0168,-0.1812,,,,3016,,,,seed=20260945
null_ce_s20260945,random_null,ce,ok,2031,271,0.003,0.095,-0.4868,,0.6535,0.0742,-0.0991,,,,3016,,,,seed=20260945
null_default_s20260946,random_null,default,ok,2776,391,-0.0186,-0.0392,-0.469,,0.2235,0.0224,-0.1862,,,,3025,,,,seed=20260946
null_ce_s20260946,random_null,ce,ok,2008,273,-0.024,-0.0702,-0.5199,,0.2316,0.0236,-0.221,,,,3025,,,,seed=20260946
null_default_s20260947,random_null,default,ok,2761,376,-0.0136,0.0047,-0.5392,,0.8986,0.1482,-0.1181,,,,3044,,,,seed=20260947
null_ce_s20260947,random_null,ce,ok,1969,257,0.0026,0.0912,-0.4556,,0.7657,0.0869,-0.1129,,,,3044,,,,seed=20260947
null_default_s20260948,random_null,default,ok,2841,359,-0.0155,-0.0353,-0.4759,,-0.753,-0.0979,-0.2128,,,,3002,,,,seed=20260948
null_ce_s20260948,random_null,ce,ok,2038,279,-0.0048,0.054,-0.6441,,0.5977,0.0645,-0.1114,,,,3002,,,,seed=20260948
null_default_s20260949,random_null,default,ok,2492,220,-0.0794,-0.2866,-0.7858,,0.7894,0.1978,-0.1748,,,,3031,,,,seed=20260949
null_ce_s20260949,random_null,ce,ok,2034,306,0.0008,0.0777,-0.4977,,1.3235,0.1849,-0.0924,,,,3031,,,,seed=20260949
null_default_s20260950,random_null,default,ok,2807,386,-0.0273,-0.0849,-0.4456,,-0.0737,-0.0198,-0.2378,,,,3033,,,,seed=20260950
null_ce_s20260950,random_null,ce,ok,2036,268,0.0365,0.3511,-0.3063,,1.6823,0.1323,-0.0821,,,,3033,,,,seed=20260950
null_default_s20260951,random_null,default,ok,2734,391,-0.0438,-0.1016,-0.6705,,-0.0207,-0.0246,-0.2617,,,,3021,,,,seed=20260951
null_ce_s20260951,random_null,ce,ok,2010,273,0.0084,0.1301,-0.3975,,0.4292,0.0419,-0.1476,,,,3021,,,,seed=20260951
null_default_s20260952,random_null,default,ok,2749,351,-0.0581,-0.1754,-0.688,,-0.0122,-0.033,-0.2754,,,,3036,,,,seed=20260952
null_ce_s20260952,random_null,ce,ok,2008,292,-0.0421,-0.1711,-0.5668,,0.1427,0.0081,-0.2014,,,,3036,,,,seed=20260952
null_default_s20260953,random_null,default,ok,2878,393,0.0254,0.2559,-0.374,,1.0384,0.101,-0.081,,,,3039,,,,seed=20260953
null_ce_s20260953,random_null,ce,ok,2055,269,0.0411,0.4376,-0.2195,,1.3377,0.103,-0.0681,,,,3039,,,,seed=20260953
null_default_s20260954,random_null,default,ok,2369,274,-0.0855,-0.2662,-0.8288,,0.161,0.0111,-0.3122,,,,3058,,,,seed=20260954
null_ce_s20260954,random_null,ce,ok,1942,256,-0.0201,-0.0383,-0.5976,,0.9145,0.118,-0.1583,,,,3058,,,,seed=20260954
null_default_s20260955,random_null,default,ok,2831,384,-0.0405,-0.1649,-0.5681,,0.0393,-0.0101,-0.2561,,,,3018,,,,seed=20260955
null_ce_s20260955,random_null,ce,ok,1961,275,-0.0354,-0.1318,-0.5731,,0.1935,0.0183,-0.2353,,,,3018,,,,seed=20260955
stock_ew_buyhold,passive_null,none,ok,0,0,0.047,0.342,-0.3983,,1.2025,0.2897,-0.2254,,,,,,,,"elig-universe EW, sleeve enters first-eligible day"
stock_ew_monthly,passive_null,none,ok,0,0,0.0691,0.461,-0.3714,,1.2969,0.2818,-0.1802,,,,,,,,"elig-universe EW, sleeve enters first-eligible day"
